run_id,source_csv,function,strategy,canonical_strategy,primary_blocker,primary_blocker_label,blocking_categories,severity,problem_count,status,correctness_overall,analysis_vectorized,analysis_vectorized_count,analysis_missed_count,benchmark_protocol,benchmark_protocol_role,paper_main_table_eligible,main_table_result_usable,benchmark_success,speedup,speedup_median,observed_outcome,conclusion_type,error
cgo_strong_plain_timeout_candidates_20260604,experiments/runs/cgo_strong_plain_timeout_candidates_20260604/paper_results.csv,s115,strong_plain,strong_plain,dependency_unsafe,unsafe dependence / isolate dependent ops,dependency_unsafe,medium,1,failed,True,False,0,2,timeout_limited,timeout_limited_evidence,False,False,True,0.6461666666666667,0.6288,non_vectorized_slowdown,protocol_limited_or_nonformal,
cgo_strong_plain_timeout_candidates_20260604,experiments/runs/cgo_strong_plain_timeout_candidates_20260604/paper_results.csv,s235,strong_plain,strong_plain,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,medium,1,failed,False,False,0,2,timeout_limited,timeout_limited_evidence,False,False,False,,,correctness_failed,correctness_failed,"[n1=1, n3=1] STATE_SUM 不匹配: 原始=86186997635673.406250, 优化=8120745780763.223633, diff=78066251854910.187500, tol=861869976.356734"
oracle_batch1_core_20260522,experiments/runs/oracle_batch1_core_20260522/paper_results.csv,s114,ours_full,full_method,dependency_unsafe,unsafe dependence / isolate dependent ops,dependency_unsafe,,,failed,True,False,0,3,formal,formal_main_table,True,True,True,1.0023,1.0006,non_vectorized_flat,non_vectorized_flat,
oracle_batch1_core_20260522,experiments/runs/oracle_batch1_core_20260522/paper_results.csv,s115,ours_full,full_method,dependency_unsafe,unsafe dependence / isolate dependent ops,dependency_unsafe,,,success,True,True,1,0,formal,formal_main_table,True,True,True,4.04496,4.0303,vectorized_speedup,vectorized_speedup,
oracle_batch1_core_20260522,experiments/runs/oracle_batch1_core_20260522/paper_results.csv,s221,ours_full,full_method,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,failed,True,False,0,3,formal,formal_main_table,True,True,True,1.007,1.0047,non_vectorized_flat,non_vectorized_flat,
oracle_batch1_core_20260522,experiments/runs/oracle_batch1_core_20260522/paper_results.csv,s222,ours_full,full_method,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,partial_success,True,False,1,2,formal,formal_main_table,True,True,True,0.88462,0.8874,non_vectorized_slowdown,non_vectorized_slowdown,
oracle_s115_repeat1_20260526,experiments/runs/oracle_s115_repeat1_20260526/paper_results.csv,s115,ours_full,full_method,dependency_unsafe,unsafe dependence / isolate dependent ops,dependency_unsafe,,,success,True,True,1,0,formal,formal_main_table,True,False,False,,,benchmark_failed,benchmark_failed,"运行时错误: Command '['/tmp/tmpkpednbjw', '1', '1']' timed out after 120 seconds"
oracle_s115_plain_baseline_20260522,experiments/runs/oracle_s115_plain_baseline_20260522/paper_results.csv,s115,llm_plain,diagnostic_only,dependency_unsafe,unsafe dependence / isolate dependent ops,dependency_unsafe,,,failed,True,False,0,2,formal,formal_main_table,True,False,False,,,benchmark_failed,benchmark_failed,"运行时错误: Command '['/tmp/tmpvo5xm2ot', '1', '1']' timed out after 120 seconds"
oracle_batch7_distribution_control_20260529,experiments/runs/oracle_batch7_distribution_control_20260529/paper_results.csv,s233,ours_full,full_method,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,partial_success,False,False,1,2,formal,formal_main_table,True,False,False,,,correctness_failed,correctness_failed,"运行时错误: Command '['/tmp/tmprgavfxt6', 'original', '1', '1']' timed out after 30 seconds"
oracle_batch7_distribution_control_20260529,experiments/runs/oracle_batch7_distribution_control_20260529/paper_results.csv,s235,ours_full,full_method,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,success,False,True,2,0,formal,formal_main_table,True,False,False,,,correctness_failed,correctness_failed,"运行时错误: Command '['/tmp/tmpd02ou0zj', 'original', '1', '1']' timed out after 30 seconds"
oracle_batch7_distribution_control_20260529,experiments/runs/oracle_batch7_distribution_control_20260529/paper_results.csv,s442,ours_full,full_method,control_flow,control flow / predication candidate,control_flow,,,failed,True,False,0,2,formal,formal_main_table,True,True,True,2.78158,2.646,non_vectorized_speedup,non_vectorized_speedup,
oracle_s235_distribution_interchange_plain_20260529,experiments/runs/oracle_s235_distribution_interchange_plain_20260529/paper_results.csv,s235,llm_plain,diagnostic_only,recurrence_reduction,reduction / recurrence boundary,recurrence_reduction,,,failed,True,False,0,2,screening,candidate_screening,False,False,True,1.0,1.0,non_vectorized_flat,protocol_limited_or_nonformal,
